"Tucci, Stefano",95293442
"Turpin, Archbishop of Reims",60534674
"Twiti, William",25335019
"Tzetzes, John",79040075
"Ubaldi, Baldo degli",29618397
"Ubaldi, Pietro degli",122273406
"Ubaldini, Petruccio",73878730
"Uberti, Fazio degli",27199436
"Ulpianus, Domitius",100210035
Ulugh Beg,66844656
"Upton, Nicholas",71741144
"Urban II, Pope",152552697
"Urban IV, Pope",40171486
"Urban VI, Pope",24610819
Valerius Maximus,25395604
"Valla, Lorenzo",29541502
"Varchi, Benedetto",46868282
"Varro, Marcus Terentius",100219311
"Vegetius Renatus, Flavius",163344563
"Vegio, Maffeo",17232779
"Vergerio, Pietro Paolo",51698984
"Verino, Ugolino",49402513
"Victor, Sextus Aurelius",64001057
"Victorinus, Marius",89512766
"Villani, Giovanni",80703292
"Vincent Ferrer, Saint",24639900
Vitruvius Pollio,46768430
Walahfrid Strabo,47555113
"Wall, Thomas",66813612
"Walsingham, Francis",46915532
"Walsingham, Thomas",100212607
"Walton, John",85252509
"Watson, Thomas",16182774
"Watton, John",235314668
"Wielant, Philips",34885019
"Wolsey, Thomas",22937889
"Wotton, Thomas",39254118
"Wroth, Mary, Lady",46776069
"Wyatt, Thomas, Sir",44340301
"Wycliffe, John",68939042
"Zabarella, Jacopo",61622575
"Zerbolt, Gerard",14885181
"Bozon, Nicole",73850586
"Mercuriale, Girolamo",22191701
"Argellata, Pietro",49367897
"Bonitus, Saint",21819412
"Herodianus, Aelius",88626271
"Azo, Portius",15570998
Cino da Pistoia,144881475
"Littleton, Thomas, Sir",76660233
"Andreae, Antonius",284758617
"Dedecus, John",37265443
"Accolti, Francesco",103218611
"Ado, Saint, Archbishop of Vienne",73864627
Alisher Navoii,138123003
"Amboise, Catherine d'",9980685
"Argiropulo, Isacco",53921341
"Bottrigari, Jacopo",41888593
"Butrio, Antonius de",29645472
"Callistus III, Pope",14991243
"Camden, William",64132346
Claudianus Mamertus,24503099
"Clebsch, Alfred",9932707
"Clement I, Pope",100251470
"Colonne, Guido delle",100902725
"Dandolo, Andrea",2823619
Giovanni d'Andrea,24629057
"Dati, Agostino",51842162
"Dee, John",39386049
"Domenichi, Domenico de'",88790908
"Gennadius II, Patriarch of Constantinople",39357794
"John of God, Saint",36936680
"Macer, Aemilius",47553138
"Maniacoria, Nicolaus",73606821
"Mansion, Colard",51720827
"Parentinis, Bernardus de",275303383
"Pelagius, Alvarus",100271363
"Pelagius, Saint",39257506
"Pius III, Pope",44290886
"Platea, Franciscus de",19789817
"Radboud, Bishop of Utrecht",89595834
"Rinuccini, Alamanno",100208488
"Salutati, Coluccio",61554735
"Sarpi, Paolo",76363633
"Segni, Bernardo",120155567
"Simeoni, Gabriele",102330772
