id,name,viaf_id,comment,authors_count,artists_count,scribes_count,source_agents_count,sale_agents_count,provenance_count,is_artist,is_author,is_provenance_agent,is_scribe,reviewed,created_by,created_at,updated_by,updated_at
9771,gesner,,,0,0,0,1,0,6,false,false,true,false,true,(none),"",(none),""
9770,strengnes,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9769,STOCKHOLM,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9768,rodford-hull,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9767,"Longman,Hurst,Rees..",,,0,0,0,6,0,0,false,false,true,false,true,(none),"",(none),""
9766,vossius g.j.-frankfurt,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9765,LE TURC M.-londres,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9764,lyon france,130848397,,0,0,0,2,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9763,KLEMM G.-ZEIBST,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9762,bailly j.l.a.-paris,27174087,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9761,peignot g.-paris,152805219,,0,0,0,2,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9760,KROLL S.W.-lipsiae,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9759,KJOBENHARN,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9758,marraccius h.-rome,,,0,0,0,2,0,0,false,false,true,false,true,(none),"",(none),""
9757,labbe p.-paris,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9756,bellarmine r-lugduni,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9755,ribadeneira p. Lugduni,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9754,opicellus I.p-mediolani,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9753,harwood e.-london,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9752,HANNETT J.-london,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9751,cleveland j.-london,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9750,brown s.-edinburgh,71538468,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9749,"westley,clark-london",,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9748,"paterson,d-london",,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9747,hederich b.-wittenberg,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9746,kohler j.d.-frankfurt,137299,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9745,struvius b.g.-IENAE,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9744,muratorius l.a.-aug.vin.,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9743,j r paris,59162005,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9742,LOVEJOY,56622887,,0,0,0,1,0,10,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9741,philpott,268970861,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9740,spedding j.,118031164,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9739,davies,108156019,,0,0,0,2,0,120,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9738,MANGIN E.-london,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9737,topographical society,144219987,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9736,naudens.g.-london,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9735,chevening-london,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9734,wetherdon,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9733,STEVENS H.,51696951,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9732,ecclesiae christe,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9731,PARRY H.london,69117195,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9730,lownds,110778575,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9729,MOXON J.,35677248,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9728,PHILLPOTT N.oxford,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
